,KH2PO4/K2HPO4 (mM),FeSO4 (μM),Thiamine (μM),(NH4)2SO4 (mM),MgSO4 (mM),Glucose (mM),growth rate,cluster
0,100,0.0025,0.011,0.1,0.1,0.2,1.052616042270865,2
1,100,0.0025,0.011,0.1,0.1,0.2,0.7619116135382851,2
2,100,0.0025,0.011,0.1,0.1,0.2,0.8987896347975471,2
3,100,0.0025,0.011,0.1,0.1,0.2,0.8610889614242545,2
4,100,0.0025,0.011,0.1,0.1,0.2,1.161655799485805,2
5,100,0.0025,0.011,0.1,0.1,0.2,0.8679741078552761,2
6,100,0.0025,0.011,1.0,0.1,0.2,0.2221222456783379,2
7,100,0.0025,0.011,1.0,0.1,0.2,0.2112722394557861,2
8,100,0.0025,0.011,1.0,0.1,0.2,0.392987645885446,2
9,100,0.0025,0.011,1.0,0.1,0.2,0.223997844911467,2
10,100,0.0025,0.011,1.0,0.1,0.2,0.1784899035554859,2
11,100,0.0025,0.011,1.0,0.1,0.2,0.2298816105291853,2
12,100,0.0025,0.011,10.0,0.1,0.2,0.4412386369640044,0
13,100,0.0025,0.011,10.0,0.1,0.2,0.3669085564106069,0
14,100,0.0025,0.011,10.0,0.1,0.2,0.4896253618569926,0
15,100,0.0025,0.011,10.0,0.1,0.2,0.304901716095576,0
16,100,0.0025,0.011,10.0,0.1,0.2,0.4273139244332549,0
17,100,0.0025,0.011,10.0,0.1,0.2,0.2696419816730273,0
18,100,0.0025,0.011,100.0,0.1,0.2,0.2688439550380605,0
19,100,0.0025,0.011,100.0,0.1,0.2,0.2585989585878181,0
20,100,0.0025,0.011,100.0,0.1,0.2,0.2648982166989248,0
21,100,0.0025,0.011,100.0,0.1,0.2,0.2639913644193881,0
22,100,0.0025,0.011,100.0,0.1,0.2,0.2439642578518863,0
23,100,0.0025,0.011,100.0,0.1,0.2,0.2520475035742211,0
24,100,0.0025,0.011,0.1,1.0,0.2,1.624833885212149,2
25,100,0.0025,0.011,0.1,1.0,0.2,1.161655799485805,2
26,100,0.0025,0.011,0.1,1.0,0.2,1.624833885212149,2
27,100,0.0025,0.011,0.1,1.0,0.2,1.471448951634856,2
28,100,0.0025,0.011,0.1,1.0,0.2,1.624833885212149,2
29,100,0.0025,0.011,0.1,1.0,0.2,0.9639869148521614,2
30,100,0.0025,0.011,1.0,1.0,0.2,0.4481205384073433,2
31,100,0.0025,0.011,1.0,1.0,0.2,0.3335929403067651,2
32,100,0.0025,0.011,1.0,1.0,0.2,0.5524056550064618,2
33,100,0.0025,0.011,1.0,1.0,0.2,0.3598790577521314,2
34,100,0.0025,0.011,1.0,1.0,0.2,0.3447305709171473,2
35,100,0.0025,0.011,1.0,1.0,0.2,0.3313469481251832,2
36,100,0.0025,0.011,10.0,1.0,0.2,0.5737825328843648,0
37,100,0.0025,0.011,10.0,1.0,0.2,0.417309171941783,0
38,100,0.0025,0.011,10.0,1.0,0.2,0.417309171941783,0
39,100,0.0025,0.011,10.0,1.0,0.2,0.5509463806706123,0
40,100,0.0025,0.011,10.0,1.0,0.2,0.3646157253341753,0
41,100,0.0025,0.011,10.0,1.0,0.2,0.381412681626627,0
42,100,0.0025,0.011,100.0,1.0,0.2,0.4218718916389048,0
43,100,0.0025,0.011,100.0,1.0,0.2,0.4588405322708325,0
44,100,0.0025,0.011,100.0,1.0,0.2,0.4588405322708325,0
45,100,0.0025,0.011,100.0,1.0,0.2,0.5579512802562365,0
46,100,0.0025,0.011,100.0,1.0,0.2,0.4071753374271162,0
47,100,0.0025,0.011,100.0,1.0,0.2,0.4976367258661816,0
48,100,0.0025,0.011,0.1,10.0,0.2,0.6941062834948097,2
49,100,0.0025,0.011,0.1,10.0,0.2,0.5139832545184055,2
50,100,0.0025,0.011,0.1,10.0,0.2,0.5139832545184055,2
51,100,0.0025,0.011,0.1,10.0,0.2,0.6194336392186497,2
52,100,0.0025,0.011,0.1,10.0,0.2,0.1386068024998766,2
53,100,0.0025,0.011,0.1,10.0,0.2,0.580827899742905,2
54,100,0.0025,0.011,1.0,10.0,0.2,0.4995597758798389,2
55,100,0.0025,0.011,1.0,10.0,0.2,0.417637679162343,2
56,100,0.0025,0.011,1.0,10.0,0.2,0.5510405019654967,2
57,100,0.0025,0.011,1.0,10.0,0.2,0.5449932217153586,2
58,100,0.0025,0.011,1.0,10.0,0.2,0.5505227956121085,2
59,100,0.0025,0.011,1.0,10.0,0.2,0.413876293739095,2
60,100,0.0025,0.011,10.0,10.0,0.2,0.3440637153399171,0
61,100,0.0025,0.011,10.0,10.0,0.2,0.4208600751011613,0
62,100,0.0025,0.011,10.0,10.0,0.2,0.3821442750584709,0
63,100,0.0025,0.011,10.0,10.0,0.2,0.4502448576344326,0
64,100,0.0025,0.011,10.0,10.0,0.2,0.3821442750584709,0
65,100,0.0025,0.011,10.0,10.0,0.2,0.3742005270139495,0
66,100,0.0025,0.011,100.0,10.0,0.2,0.580227070691676,0
67,100,0.0025,0.011,100.0,10.0,0.2,0.6312135859696311,0
68,100,0.0025,0.011,100.0,10.0,0.2,0.568746406247474,0
69,100,0.0025,0.011,100.0,10.0,0.2,0.4845808279038786,0
70,100,0.0025,0.011,100.0,10.0,0.2,0.5567130356451833,0
71,100,0.0025,0.011,100.0,10.0,0.2,0.5307315822049183,0
72,100,0.0025,0.011,0.1,0.1,2.0,1.010262693534784,2
73,100,0.0025,0.011,0.1,0.1,2.0,0.7094384988467249,2
74,100,0.0025,0.011,0.1,0.1,2.0,0.8279712221299101,2
75,100,0.0025,0.011,0.1,0.1,2.0,0.9891865391348613,2
76,100,0.0025,0.011,0.1,0.1,2.0,0.9323879502730081,2
77,100,0.0025,0.011,0.1,0.1,2.0,0.8388056273017908,2
78,100,0.0025,0.011,1.0,0.1,2.0,0.3530805365167959,2
79,100,0.0025,0.011,1.0,0.1,2.0,0.3168995149512261,2
80,100,0.0025,0.011,1.0,0.1,2.0,0.2897092071106153,2
81,100,0.0025,0.011,1.0,0.1,2.0,0.3096627839045588,2
82,100,0.0025,0.011,1.0,0.1,2.0,0.2764074759781748,2
83,100,0.0025,0.011,1.0,0.1,2.0,0.29017108492122,2
84,100,0.0025,0.011,10.0,0.1,2.0,0.5064694705049293,0
85,100,0.0025,0.011,10.0,0.1,2.0,0.3666823917445727,0
86,100,0.0025,0.011,10.0,0.1,2.0,0.4682953816707983,0
87,100,0.0025,0.011,10.0,0.1,2.0,0.4949780623409359,0
88,100,0.0025,0.011,10.0,0.1,2.0,0.5262019440447762,0
89,100,0.0025,0.011,10.0,0.1,2.0,0.4533469693825625,0
90,100,0.0025,0.011,100.0,0.1,2.0,0.2531467348589607,0
91,100,0.0025,0.011,100.0,0.1,2.0,0.2825537247899542,0
92,100,0.0025,0.011,100.0,0.1,2.0,0.2496577586649449,0
93,100,0.0025,0.011,100.0,0.1,2.0,0.2834584342963895,0
94,100,0.0025,0.011,100.0,0.1,2.0,0.2544842139328929,0
95,100,0.0025,0.011,100.0,0.1,2.0,0.2639566875460817,0
96,100,0.0025,0.011,0.1,1.0,2.0,1.711068515387621,2
97,100,0.0025,0.011,0.1,1.0,2.0,0.9634116748192647,2
98,100,0.0025,0.011,0.1,1.0,2.0,1.198816603029799,2
99,100,0.0025,0.011,0.1,1.0,2.0,0.9196593065352262,2
100,100,0.0025,0.011,0.1,1.0,2.0,1.198816603029799,2
101,100,0.0025,0.011,0.1,1.0,2.0,0.9009409389253168,2
102,100,0.0025,0.011,1.0,1.0,2.0,0.5720386217399994,2
103,100,0.0025,0.011,1.0,1.0,2.0,0.5427768041041995,2
104,100,0.0025,0.011,1.0,1.0,2.0,0.4875567625060002,2
105,100,0.0025,0.011,1.0,1.0,2.0,0.5248390053975147,2
106,100,0.0025,0.011,1.0,1.0,2.0,0.5096051731795881,2
107,100,0.0025,0.011,1.0,1.0,2.0,0.4816058185293322,2
108,100,0.0025,0.011,10.0,1.0,2.0,0.6523718647705866,0
109,100,0.0025,0.011,10.0,1.0,2.0,0.5299633541095528,0
110,100,0.0025,0.011,10.0,1.0,2.0,0.573114835430848,0
111,100,0.0025,0.011,10.0,1.0,2.0,0.6529375525400585,0
112,100,0.0025,0.011,10.0,1.0,2.0,0.8256889825180561,0
113,100,0.0025,0.011,10.0,1.0,2.0,0.6529375525400585,0
114,100,0.0025,0.011,100.0,1.0,2.0,0.594032728574529,0
115,100,0.0025,0.011,100.0,1.0,2.0,0.6280251865514943,0
116,100,0.0025,0.011,100.0,1.0,2.0,0.5789556696982553,0
117,100,0.0025,0.011,100.0,1.0,2.0,0.6782373348334764,0
118,100,0.0025,0.011,100.0,1.0,2.0,0.5658079139048452,0
119,100,0.0025,0.011,100.0,1.0,2.0,0.6196738401769917,0
120,100,0.0025,0.011,0.1,10.0,2.0,0.9229320627091004,2
121,100,0.0025,0.011,0.1,10.0,2.0,1.102889318115276,2
122,100,0.0025,0.011,0.1,10.0,2.0,0.8995687704448223,2
123,100,0.0025,0.011,0.1,10.0,2.0,0.811752486123243,2
124,100,0.0025,0.011,0.1,10.0,2.0,0.9229320627091004,2
125,100,0.0025,0.011,0.1,10.0,2.0,0.811752486123243,2
126,100,0.0025,0.011,1.0,10.0,2.0,0.6234468815902655,2
127,100,0.0025,0.011,1.0,10.0,2.0,0.6127411323345263,2
128,100,0.0025,0.011,1.0,10.0,2.0,0.736181038172154,2
129,100,0.0025,0.011,1.0,10.0,2.0,0.6229120264936372,2
130,100,0.0025,0.011,1.0,10.0,2.0,0.5764741152442733,2
131,100,0.0025,0.011,1.0,10.0,2.0,0.6160215962193187,2
132,100,0.0025,0.011,10.0,10.0,2.0,0.695678039883075,2
133,100,0.0025,0.011,10.0,10.0,2.0,0.5691981641821426,2
134,100,0.0025,0.011,10.0,10.0,2.0,0.5468204747477544,2
135,100,0.0025,0.011,10.0,10.0,2.0,0.5222362072036058,2
136,100,0.0025,0.011,10.0,10.0,2.0,0.5777069093043891,2
137,100,0.0025,0.011,10.0,10.0,2.0,0.5691981641821426,2
138,100,0.0025,0.011,100.0,10.0,2.0,0.6663647974199228,0
139,100,0.0025,0.011,100.0,10.0,2.0,0.8409164554472359,0
140,100,0.0025,0.011,100.0,10.0,2.0,0.9472173476756198,0
141,100,0.0025,0.011,100.0,10.0,2.0,0.6169857305406982,0
142,100,0.0025,0.011,100.0,10.0,2.0,0.6632656378437627,0
143,100,0.0025,0.011,100.0,10.0,2.0,0.5619993981340992,0
144,100,0.0025,0.011,0.1,0.1,20.0,0.7619116135382851,1
145,100,0.0025,0.011,0.1,0.1,20.0,0.8469298082654692,1
146,100,0.0025,0.011,0.1,0.1,20.0,0.8279712221299101,1
147,100,0.0025,0.011,0.1,0.1,20.0,0.9323879502730081,1
148,100,0.0025,0.011,0.1,0.1,20.0,0.9323879502730081,1
149,100,0.0025,0.011,0.1,0.1,20.0,0.7619116135382851,1
150,100,0.0025,0.011,1.0,0.1,20.0,0.3495751108508175,1
151,100,0.0025,0.011,1.0,0.1,20.0,0.3205160666506277,1
152,100,0.0025,0.011,1.0,0.1,20.0,0.326217310994116,1
153,100,0.0025,0.011,1.0,0.1,20.0,0.374454549129448,1
154,100,0.0025,0.011,1.0,0.1,20.0,0.3419921729113382,1
155,100,0.0025,0.011,1.0,0.1,20.0,0.3388692292239356,1
156,100,0.0025,0.011,10.0,0.1,20.0,0.2556846285820336,0
157,100,0.0025,0.011,10.0,0.1,20.0,0.1978947436733351,0
158,100,0.0025,0.011,10.0,0.1,20.0,0.2162667363641365,0
159,100,0.0025,0.011,10.0,0.1,20.0,0.1910872865793281,0
160,100,0.0025,0.011,10.0,0.1,20.0,0.126015885895067,0
161,100,0.0025,0.011,10.0,0.1,20.0,0.1361175948497527,0
162,100,0.0025,0.011,0.1,1.0,20.0,0.9007454104122656,1
163,100,0.0025,0.011,0.1,1.0,20.0,1.198816603029799,1
164,100,0.0025,0.011,0.1,1.0,20.0,1.198816603029799,1
165,100,0.0025,0.011,0.1,1.0,20.0,1.198816603029799,1
166,100,0.0025,0.011,0.1,1.0,20.0,0.9323879502730081,1
167,100,0.0025,0.011,0.1,1.0,20.0,0.9898146084445495,1
168,100,0.0025,0.011,1.0,1.0,20.0,0.619673840176991,1
169,100,0.0025,0.011,1.0,1.0,20.0,0.481745451208112,1
170,100,0.0025,0.011,1.0,1.0,20.0,0.4925143398659092,1
171,100,0.0025,0.011,1.0,1.0,20.0,0.5390401458617361,1
172,100,0.0025,0.011,1.0,1.0,20.0,0.5131208751441264,1
173,100,0.0025,0.011,1.0,1.0,20.0,0.5395912992653259,1
174,100,0.0025,0.011,10.0,1.0,20.0,0.5994812689819824,0
175,100,0.0025,0.011,10.0,1.0,20.0,0.6025731524285487,0
176,100,0.0025,0.011,10.0,1.0,20.0,0.613452116820564,0
177,100,0.0025,0.011,10.0,1.0,20.0,0.5516858269076113,0
178,100,0.0025,0.011,10.0,1.0,20.0,0.5837110134695187,0
179,100,0.0025,0.011,10.0,1.0,20.0,0.5306521973883438,0
180,100,0.0025,0.011,100.0,1.0,20.0,0.5759890871518272,0
181,100,0.0025,0.011,100.0,1.0,20.0,0.5542123584475112,0
182,100,0.0025,0.011,100.0,1.0,20.0,0.4769871008091947,0
183,100,0.0025,0.011,100.0,1.0,20.0,0.5339602456561101,0
184,100,0.0025,0.011,100.0,1.0,20.0,0.5666454121525113,0
185,100,0.0025,0.011,100.0,1.0,20.0,0.5789000316305637,0
186,100,0.0025,0.011,100.0,1.0,20.0,0.6277086081725995,0
187,100,0.0025,0.011,100.0,1.0,20.0,0.6037587973881872,0
188,100,0.0025,0.011,100.0,1.0,20.0,0.6669405901649891,0
189,100,0.0025,0.011,100.0,1.0,20.0,0.6410274468368216,0
190,100,0.0025,0.011,100.0,1.0,20.0,0.5881462960773988,0
191,100,0.0025,0.011,100.0,1.0,20.0,0.5605413956353457,0
192,100,0.0025,0.011,0.1,10.0,20.0,0.6689018856877808,2
193,100,0.0025,0.011,0.1,10.0,20.0,0.1727678521986824,2
194,100,0.0025,0.011,0.1,10.0,20.0,0.9347537370614354,2
195,100,0.0025,0.011,0.1,10.0,20.0,0.9229320627091004,2
196,100,0.0025,0.011,0.1,10.0,20.0,0.6003046289923171,2
197,100,0.0025,0.011,1.0,10.0,20.0,0.5460049563063994,1
198,100,0.0025,0.011,1.0,10.0,20.0,0.5724451176681352,1
199,100,0.0025,0.011,1.0,10.0,20.0,0.6067620584479536,1
200,100,0.0025,0.011,1.0,10.0,20.0,0.5852948289996079,1
201,100,0.0025,0.011,1.0,10.0,20.0,0.6152135674805671,1
202,100,0.0025,0.011,1.0,10.0,20.0,0.6306763010001605,1
203,100,0.0025,0.011,10.0,10.0,20.0,0.6151886150988268,1
204,100,0.0025,0.011,10.0,10.0,20.0,0.602698555074409,1
205,100,0.0025,0.011,10.0,10.0,20.0,0.6103503459863079,1
206,100,0.0025,0.011,10.0,10.0,20.0,0.5421903782367833,1
207,100,0.0025,0.011,10.0,10.0,20.0,0.5856153284375789,1
208,100,0.0025,0.011,10.0,10.0,20.0,0.5427022085894385,1
209,100,0.0025,0.011,100.0,10.0,20.0,0.7186769825327839,0
210,100,0.0025,0.011,100.0,10.0,20.0,0.6075401611151978,0
211,100,0.0025,0.011,100.0,10.0,20.0,0.7186769825327839,0
212,100,0.0025,0.011,100.0,10.0,20.0,0.6044975798094553,0
213,100,0.0025,0.011,100.0,10.0,20.0,0.7125223513690305,0
214,100,0.0025,0.011,100.0,10.0,20.0,0.6292086748989076,0
215,100,0.0025,0.011,0.1,0.1,200.0,0.6303110798477333,1
216,100,0.0025,0.011,0.1,0.1,200.0,0.5815809398361775,1
217,100,0.0025,0.011,0.1,0.1,200.0,0.5308198208021571,1
218,100,0.0025,0.011,0.1,0.1,200.0,0.566916868592779,1
219,100,0.0025,0.011,0.1,0.1,200.0,0.622680266566849,1
220,100,0.0025,0.011,0.1,0.1,200.0,0.7659339129181033,1
221,100,0.0025,0.011,1.0,0.1,200.0,0.0,1
222,100,0.0025,0.011,1.0,0.1,200.0,0.0,1
223,100,0.0025,0.011,1.0,0.1,200.0,0.0,1
224,100,0.0025,0.011,1.0,0.1,200.0,0.0,1
225,100,0.0025,0.011,1.0,0.1,200.0,0.0,1
226,100,0.0025,0.011,1.0,0.1,200.0,0.0,1
227,100,0.0025,0.011,10.0,0.1,200.0,0.3081039010070825,0
228,100,0.0025,0.011,10.0,0.1,200.0,0.3352425724649115,0
229,100,0.0025,0.011,10.0,0.1,200.0,0.3012285698209414,0
230,100,0.0025,0.011,10.0,0.1,200.0,0.3326927391546365,0
231,100,0.0025,0.011,10.0,0.1,200.0,0.365007505993091,0
232,100,0.0025,0.011,10.0,0.1,200.0,0.3313301514738716,0
233,100,0.0025,0.011,0.1,1.0,200.0,1.212655383463366,1
234,100,0.0025,0.011,0.1,1.0,200.0,1.212655383463366,1
235,100,0.0025,0.011,0.1,1.0,200.0,1.012326677441379,1
236,100,0.0025,0.011,0.1,1.0,200.0,1.012326677441379,1
237,100,0.0025,0.011,0.1,1.0,200.0,0.07196443257567098,1
238,100,0.0025,0.011,0.1,1.0,200.0,0.750358264060929,1
239,100,0.0025,0.011,1.0,1.0,200.0,0.0,1
240,100,0.0025,0.011,1.0,1.0,200.0,0.0,1
241,100,0.0025,0.011,1.0,1.0,200.0,0.0,1
242,100,0.0025,0.011,1.0,1.0,200.0,0.0,1
243,100,0.0025,0.011,1.0,1.0,200.0,0.0,1
244,100,0.0025,0.011,1.0,1.0,200.0,0.0,1
245,100,0.0025,0.011,10.0,1.0,200.0,0.5659524706117304,0
246,100,0.0025,0.011,10.0,1.0,200.0,0.5447520696874866,0
247,100,0.0025,0.011,10.0,1.0,200.0,0.5211584005408323,0
248,100,0.0025,0.011,10.0,1.0,200.0,0.5540240843284533,0
249,100,0.0025,0.011,10.0,1.0,200.0,0.5502230847545697,0
250,100,0.0025,0.011,10.0,1.0,200.0,0.5307632431553058,0
251,100,0.0025,0.011,100.0,1.0,200.0,0.4634593066565071,0
252,100,0.0025,0.011,100.0,1.0,200.0,0.4102800920175399,0
253,100,0.0025,0.011,100.0,1.0,200.0,0.4442958772289796,0
254,100,0.0025,0.011,100.0,1.0,200.0,0.4186253148855575,0
255,100,0.0025,0.011,100.0,1.0,200.0,0.470186562429923,0
256,100,0.0025,0.011,100.0,1.0,200.0,0.4006845074732288,0
257,100,0.0025,0.011,0.1,10.0,200.0,0.683145423923652,1
258,100,0.0025,0.011,0.1,10.0,200.0,1.018970014339067,1
259,100,0.0025,0.011,0.1,10.0,200.0,0.5699602318216496,1
260,100,0.0025,0.011,0.1,10.0,200.0,1.018970014339067,1
261,100,0.0025,0.011,0.1,10.0,200.0,0.6793819986359786,1
262,100,0.0025,0.011,0.1,10.0,200.0,0.7388348831128948,1
263,100,0.0025,0.011,1.0,10.0,200.0,0.3055122313336495,1
264,100,0.0025,0.011,1.0,10.0,200.0,0.6152135674805671,1
265,100,0.0025,0.011,1.0,10.0,200.0,0.3609004499434499,1
266,100,0.0025,0.011,1.0,10.0,200.0,0.5594259465211519,1
267,100,0.0025,0.011,1.0,10.0,200.0,0.3544009464734638,1
268,100,0.0025,0.011,1.0,10.0,200.0,0.5802450190260477,1
269,100,0.0025,0.011,10.0,10.0,200.0,0.6302645587114069,1
270,100,0.0025,0.011,10.0,10.0,200.0,0.6026225498915043,1
271,100,0.0025,0.011,10.0,10.0,200.0,0.6313296847803831,1
272,100,0.0025,0.011,10.0,10.0,200.0,0.6026225498915043,1
273,100,0.0025,0.011,10.0,10.0,200.0,0.6097430544626741,1
274,100,0.0025,0.011,10.0,10.0,200.0,0.5670699379820365,1
275,100,0.0025,0.011,100.0,10.0,200.0,0.5559083919963236,0
276,100,0.0025,0.011,100.0,10.0,200.0,0.5255983829630743,0
277,100,0.0025,0.011,100.0,10.0,200.0,0.5979573034776194,0
278,100,0.0025,0.011,100.0,10.0,200.0,0.5381524104611198,0
279,100,0.0025,0.011,100.0,10.0,200.0,0.6117988503607169,0
280,100,0.0025,0.011,100.0,10.0,200.0,0.5732819354782612,0
